rank,name,age,points
1,Novak Djokovic,36,"9,675"
2,Carlos Alcaraz,20,"8,805"
3,Jannik Sinner,22,"8,270"
4,Daniil Medvedev,28,"7,715"
5,Andrey Rublev,26,"5,010"
6,Alexander Zverev,26,"4,950"
7,Holger Rune,20,"3,720"
8,Hubert Hurkacz,27,"3,405"
9,Casper Ruud,25,"3,405"
10,Alex de Minaur,25,"3,210"
11,Stefanos Tsitsipas,25,"3,170"
12,Taylor Fritz,26,"3,015"
13,Grigor Dimitrov,32,"2,880"
14,Ugo Humbert,25,"2,415"
15,Karen Khachanov,27,"2,300"
16,Ben Shelton,21,"2,145"
17,Tommy Paul,26,"2,120"
18,Frances Tiafoe,26,"2,115"
19,Sebastian Baez,23,"1,985"
20,Alexander Bublik,26,"1,984"
21,Adrian Mannarino,35,"1,950"
22,Francisco Cerundolo,25,"1,840"
23,Alejandro Davidovich Fokina,24,"1,595"
24,Nicolas Jarry,28,"1,575"
25,Jan-Lennard Struff,33,"1,531"
26,Lorenzo Musetti,22,"1,480"
27,Tallon Griekspoor,27,"1,445"
28,Cameron Norrie,28,"1,380"
29,Sebastian Korda,23,"1,345"
30,Tomas Martin Etcheverry,24,"1,335"
31,Felix Auger-Aliassime,23,"1,295"
32,Jiri Lehecka,22,"1,260"
33,Jordan Thompson,29,"1,246"
34,Christopher Eubanks,27,"1,234"
35,Borna Coric,27,"1,194"
36,Laslo Djere,28,"1,190"
37,Jack Draper,22,"1,151"
38,Sebastian Ofner,27,"1,116"
39,Alejandro Tabilo,26,"1,116"
40,Matteo Arnaldi,23,"1,091"
41,Alexei Popyrin,24,"1,087"
42,Roman Safiullin,26,"1,080"
43,Arthur Fils,19,"1,078"
44,Aslan Karatsev,30,"1,073"
45,Daniel Evans,33,"1,066"
46,Emil Ruusuvuori,24,"1,041"
47,Miomir Kecmanovic,24,"1,030"
48,Marcos Giron,30,"1,015"
49,Dominik Koepfer,29,"1,008"
50,Zhizhen Zhang,27,"1,006"
51,Alexander Shevchenko,23,"1,000"
52,Facundo Diaz Acosta,23,963
53,Daniel Altmaier,25,961
54,Gael Monfils,37,937
55,Lorenzo Sonego,28,935
56,Dusan Lajovic,33,927
57,Yannick Hanfmann,32,920
58,Fabian Marozsan,24,914
59,Mariano Navone,23,906
60,Nuno Borges,27,887
61,Andy Murray,36,885
62,Flavio Cobolli,21,880
63,Tomas Machac,23,868
64,Roberto Carballes Baena,30,831
65,Thiago Seyboth Wild,23,820
66,Christopher O'Connell,29,819
67,Pavel Kotov,25,819
68,Mackenzie McDonald,28,815
69,Aleksandar Vukic,27,801
70,Stan Wawrinka,38,797
71,Max Purcell,25,796
72,Yoshihito Nishioka,28,788
73,Luciano Darderi,22,787
74,Marton Fucsovics,32,782
75,Jaume Munar,26,776
76,Taro Daniel,31,773
77,Arthur Cazaux,21,769
78,Rinky Hijikata,23,754
79,Pedro Cachin,28,754
80,Alex Michelsen,19,754
81,Jakub Mensik,18,751
82,Botic van de Zandschulp,28,750
83,Arthur Rinderknech,28,720
84,Daniel Elahi Galan,27,709
85,Hugo Gaston,23,704
86,Luca Van Assche,19,696
87,Cristian Garin,27,690
88,Alexandre Muller,27,689
89,Pedro Martinez,26,687
90,Federico Coria,31,687
91,Dominic Thiem,30,655
92,Aleksandar Kovacevic,25,654
93,Brandon Nakashima,22,645
94,J.J. Wolf,25,640
95,Maximilian Marterer,28,637
96,Jurij Rodionov,24,631
97,Thiago Agustin Tirante,22,616
98,Roberto Bautista Agut,35,614
99,Thanasi Kokkinakis,27,609
100,Constant Lestienne,31,606
